"Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares","AHL^E","NYSE","stock","USD"
"Allied Healthcare Products Inc. Common Stock","AHPI","NYSE","stock","USD"
"Ahren Acquisition Corp. Class A Ordinary Shares","AHRN","NYSE","stock","USD"
"Ahren Acquisition Corp. Unit","AHRNU","NYSE","stock","USD"
"Ahren Acquisition Corp. Warrants","AHRNW","NYSE","stock","USD"
"Ashford Hospitality Trust Inc Common Stock","AHT","NYSE","stock","USD"
"Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock","AHT^D","NYSE","stock","USD"
"Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock","AHT^F","NYSE","stock","USD"
"Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock","AHT^G","NYSE","stock","USD"
"Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock","AHT^H","NYSE","stock","USD"
"Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock","AHT^I","NYSE","stock","USD"
"C3.ai Inc. Class A Common Stock","AI","NYSE","stock","USD"
"AIB Acquisition Corporation Class A Ordinary Shares","AIB","NYSE","stock","USD"
"AIB Acquisition Corporation Unit","AIBBU","NYSE","stock","USD"
"Arlington Asset Investment Corp 6.750% Notes due 2025","AIC","NYSE","stock","USD"
"Apollo Tactical Income Fund Inc. Common Stock","AIF","NYSE","stock","USD"
"American International Group Inc. New Common Stock","AIG","NYSE","stock","USD"
"American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock","AIG^A","NYSE","stock","USD"
"Aesthetic Medical International Holdings Group Ltd. American Depositary Shares","AIH","NYSE","stock","USD"
"Senmiao Technology Limited Common Stock","AIHS","NYSE","stock","USD"
"AIM ImmunoTech Inc. Common Stock","AIM","NYSE","stock","USD"
"Aimfinity Investment Corp. I Unit","AIMAU","NYSE","stock","USD"
"Aimfinity Investment Corp. I Warrant","AIMAW","NYSE","stock","USD"
"Altra Industrial Motion Corp. Common Stock","AIMC","NYSE","stock","USD"
"Ainos Inc. Common Stock","AIMD","NYSE","stock","USD"
"Ainos Inc. Warrants","AIMDW","NYSE","stock","USD"
"Albany International Corporation Common Stock","AIN","NYSE","stock","USD"
"Ashford Inc. (Holding Company) Common Stock","AINC","NYSE","stock","USD"
"Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest","AIO","NYSE","stock","USD"
"Arteris Inc. Common Stock","AIP","NYSE","stock","USD"
"AAR Corp. Common Stock","AIR","NYSE","stock","USD"
"Apartment Income REIT Corp. Common Stock","AIRC","NYSE","stock","USD"
"Airgain Inc. Common Stock","AIRG","NYSE","stock","USD"
"Air Industries Group Common Stock","AIRI","NYSE","stock","USD"
"AirSculpt Technologies Inc. Common Stock","AIRS","NYSE","stock","USD"
"Air T Inc. Common Stock","AIRT","NYSE","stock","USD"
"Air T Inc. Air T Funding Alpha Income Trust Preferred Securities","AIRTP","NYSE","stock","USD"
"Applied Industrial Technologies Inc. Common Stock","AIT","NYSE","stock","USD"
"Meta Data Limited ADS","AIU","NYSE","stock","USD"
"Apartment Investment and Management Company Common Stock","AIV","NYSE","stock","USD"
"Assurant Inc. Common Stock","AIZ","NYSE","stock","USD"
"Assurant Inc. 5.25% Subordinated Notes due 2061","AIZN","NYSE","stock","USD"
"Arthur J. Gallagher & Co. Common Stock","AJG","NYSE","stock","USD"
"Aerojet Rocketdyne Holdings Inc. Common Stock","AJRD","NYSE","stock","USD"
"Great Ajax Corp. Common Stock","AJX","NYSE","stock","USD"
"Great Ajax Corp. 7.25% Convertible Senior Notes due 2024","AJXA","NYSE","stock","USD"
"a.k.a. Brands Holding Corp. Common Stock","AKA","NYSE","stock","USD"
"Akamai Technologies Inc. Common Stock","AKAM","NYSE","stock","USD"
"Akanda Corp. Common Shares","AKAN","NYSE","stock","USD"
"Akebia Therapeutics Inc. Common Stock","AKBA","NYSE","stock","USD"
"Akili Inc. Common Stock","AKLI","NYSE","stock","USD"
"Embotelladora Andina S.A.","AKO/A","NYSE","stock","USD"
"Embotelladora Andina S.A.","AKO/B","NYSE","stock","USD"
"Acadia Realty Trust Common Stock","AKR","NYSE","stock","USD"
"Akero Therapeutics Inc. Common Stock","AKRO","NYSE","stock","USD"
"Akoustis Technologies Inc. Common Stock","AKTS","NYSE","stock","USD"
"Akari Therapeutics plc ADS","AKTX","NYSE","stock","USD"
"Akumin Inc. Common Stock (DE)","AKU","NYSE","stock","USD"
"Akoya BioSciences Inc. Common Stock","AKYA","NYSE","stock","USD"
"Air Lease Corporation Class A Common Stock","AL","NYSE","stock","USD"
"Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A","AL^A","NYSE","stock","USD"
"Albemarle Corporation Common Stock","ALB","NYSE","stock","USD"
"Albireo Pharma Inc. Common Stock","ALBO","NYSE","stock","USD"
"Avalon GloboCare Corp. Common Stock","ALBT","NYSE","stock","USD"
"Alcon Inc. Ordinary Shares","ALC","NYSE","stock","USD"
"AltC Acquisition Corp. Class A Common Stock","ALCC","NYSE","stock","USD"
"Alico Inc. Common Stock","ALCO","NYSE","stock","USD"
"Aldeyra Therapeutics Inc. Common Stock","ALDX","NYSE","stock","USD"
"Allete Inc.","ALE","NYSE","stock","USD"
"Alector Inc. Common Stock","ALEC","NYSE","stock","USD"
"Alexander & Baldwin Inc. Common Stock REIT Holding Company","ALEX","NYSE","stock","USD"
"Alamo Group Inc. Common Stock","ALG","NYSE","stock","USD"
"Allegro MicroSystems Inc. Common Stock","ALGM","NYSE","stock","USD"
"Align Technology Inc. Common Stock","ALGN","NYSE","stock","USD"
"Aligos Therapeutics Inc. Common Stock","ALGS","NYSE","stock","USD"
"Allegiant Travel Company Common Stock","ALGT","NYSE","stock","USD"
"Alignment Healthcare Inc. Common Stock","ALHC","NYSE","stock","USD"
"Alimera Sciences Inc. Common Stock","ALIM","NYSE","stock","USD"
"Alight Inc. Class A Common Stock","ALIT","NYSE","stock","USD"
"Alaska Air Group Inc. Common Stock","ALK","NYSE","stock","USD"
"Alkermes plc Ordinary Shares","ALKS","NYSE","stock","USD"
"Alkami Technology Inc. Common Stock","ALKT","NYSE","stock","USD"
"Allstate Corporation (The) Common Stock","ALL","NYSE","stock","USD"
"Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053","ALL^B","NYSE","stock","USD"
"Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series G","ALL^G","NYSE","stock","USD"
"Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H","ALL^H","NYSE","stock","USD"
